dataset	sample_id	cancer	pathway	receiver_compartment	target_genes_in_panel	target_genes_detected	target_genes_detected_list	receiver_spots	receiver_target_mean	other_compartment_target_mean	receiver_target_enrichment	receiver_target_positive_spot_fraction	receiver_target_percentile	target_activation_support	matrix_rows	matrix_cols	matrix_nnz
GSE300445	GSM9060732_AdjIII-0019	melanoma	VEGF	tumor_like	7	7	KDR,FLT1,VWF,PECAM1,PLVAP,ENG,ESAM	1187	1.6789024	2.8799662	0.58295906	0.97978096	0.6	0	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	VEGF	immune	7	7	KDR,FLT1,VWF,PECAM1,PLVAP,ENG,ESAM	0	0	2.3184606	4.3132068e-10	0	0.4	0	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	VEGF	stroma_fibroblast	7	7	KDR,FLT1,VWF,PECAM1,PLVAP,ENG,ESAM	992	3.1175115	1.8060763	1.726124	0.99697581	1	1	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	VEGF	endothelial	7	7	KDR,FLT1,VWF,PECAM1,PLVAP,ENG,ESAM	0	0	2.3184606	4.3132068e-10	0	0.4	0	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	VEGF	ambiguous_or_low_signal	7	7	KDR,FLT1,VWF,PECAM1,PLVAP,ENG,ESAM	360	2.2253968	2.333836	0.95353609	0.98333333	0.8	0	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	WNT	tumor_like	7	7	AXIN2,LEF1,TCF7,DKK1,FZD5,JUN,FOS	1187	5.7546034	4.6637785	1.2338929	0.99831508	0.8	0	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	WNT	immune	7	7	AXIN2,LEF1,TCF7,DKK1,FZD5,JUN,FOS	0	0	5.1737467	1.9328353e-10	0	0.4	0	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	WNT	stroma_fibroblast	7	7	AXIN2,LEF1,TCF7,DKK1,FZD5,JUN,FOS	992	4.0064804	5.9222458	0.6765137	0.99798387	0.6	0	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	WNT	endothelial	7	7	AXIN2,LEF1,TCF7,DKK1,FZD5,JUN,FOS	0	0	5.1737467	1.9328353e-10	0	0.4	0	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	WNT	ambiguous_or_low_signal	7	7	AXIN2,LEF1,TCF7,DKK1,FZD5,JUN,FOS	360	6.475	4.9587622	1.3057694	0.99166667	1	1	18085	2539	20010567
GSE300445	GSM9060733_AdjIII-0022	melanoma	CCL chemokine	tumor_like	6	6	CCL2,CCL3,CCL4,CCR2,LST1,IL1B	367	0.1448683	0.10389073	1.3944295	0.51498638	1	1	18085	2783	18900716
GSE300445	GSM9060733_AdjIII-0022	melanoma	CCL chemokine	immune	6	6	CCL2,CCL3,CCL4,CCR2,LST1,IL1B	0	0	0.10929453	9.149589e-09	0	0.4	0	18085	2783	18900716
GSE300445	GSM9060733_AdjIII-0022	melanoma	CCL chemokine	stroma_fibroblast	6	6	CCL2,CCL3,CCL4,CCR2,LST1,IL1B	1687	0.098103142	0.12652068	0.77539214	0.38292828	0.6	0	18085	2783	18900716
GSE300445	GSM9060733_AdjIII-0022	melanoma	CCL chemokine	endothelial	6	6	CCL2,CCL3,CCL4,CCR2,LST1,IL1B	0	0	0.10929453	9.149589e-09	0	0.4	0	18085	2783	18900716
GSE300445	GSM9060733_AdjIII-0022	melanoma	CCL chemokine	ambiguous_or_low_signal	6	6	CCL2,CCL3,CCL4,CCR2,LST1,IL1B	729	0.11728395	0.10645894	1.1016825	0.45816187	0.8	0	18085	2783	18900716
GSE300445	GSM9060733_AdjIII-0022	melanoma	CXCL chemokine	tumor_like	7	7	CXCL9,CXCL10,CXCL11,CXCR3,CXCR4,ISG15,STAT1	367	4.3012845	0.93838694	4.5837003	0.98637602	1	1	18085	2783	18900716
GSE300445	GSM9060733_AdjIII-0022	melanoma	CXCL chemokine	immune	7	7	CXCL9,CXCL10,CXCL11,CXCR3,CXCR4,ISG15,STAT1	0	0	1.3818592	7.236627e-10	0	0.4	0	18085	2783	18900716
