target_gap_reason	candidate	dataset	sample_id	cancer	sender_compartment	receiver_compartment	ligand	receptor	pathway	spatiallr_trust_score_pilot_v3	confidence_tier_pilot_v3	tri_method_support_count	external_method_support_count	spatial_null_p	label_null_p	fake_lr_null_p	dataset_recurrence_n	target_genes_in_panel	target_genes_detected	target_genes_detected_list	receiver_target_mean	other_compartment_target_mean	receiver_target_enrichment	receiver_target_positive_spot_fraction	receiver_target_percentile	target_activation_support
low_receiver_enrichment	endothelial->immune CXCL12-CXCR4	GSE292299	GSM8855707_NSCLC_P5	NSCLC	endothelial	immune	CXCL12	CXCR4	CXCL chemokine	0.828175	high_pilot_v3	3	2	0.019607843	0.032258065	0.0099009901	7	7	7	CXCL9,CXCL10,CXCL11,CXCR3,CXCR4,ISG15,STAT1	0.18997756	0.17672283	1.0750029	0.54450262	1	0
low_receiver_enrichment	tumor_like->endothelial VEGFA-KDR	GSE292299	GSM8855707_NSCLC_P5	NSCLC	tumor_like	endothelial	VEGFA	KDR	VEGF	0.830641	high_pilot_v3	3	2	0.019607843	0.096774194	0.0099009901	6	7	7	KDR,FLT1,VWF,PECAM1,PLVAP,ENG,ESAM	0.26303855	0.24735077	1.0634232	0.92063492	0.8	0
low_receiver_enrichment	tumor_like->tumor_like SPP1-ITGAV	GSE292299	GSM8855707_NSCLC_P5	NSCLC	tumor_like	tumor_like	SPP1	ITGAV	SPP1	0.915877	high_pilot_v3	3	2	0.019607843	0.032258065	0.0099009901	15	6	6	SPP1,CD44,ITGAV,ITGB1,FN1,MMP9	1.4654321	2.5157797	0.58249619	0.71666667	0.8	0
low_percentile_and_low_enrichment	tumor_like->tumor_like TGFB1-TGFBR1	GSE292299	GSM8855708_NSCLC_P6	NSCLC	tumor_like	tumor_like	TGFB1	TGFBR1	TGFB	0.908987	high_pilot_v3	3	2	0.019607843	0.032258065	0.0099009901	15	8	7	SERPINE1,SMAD7,CCN2,COL1A1,COL1A2,FN1,ACTA2	4.3508428	9.7704727	0.44530525	0.96425616	0.6	0
low_percentile_and_low_enrichment	tumor_like->tumor_like TGFB1-TGFBR2	GSE292299	GSM8855708_NSCLC_P6	NSCLC	tumor_like	tumor_like	TGFB1	TGFBR2	TGFB	0.92685	high_pilot_v3	3	2	0.019607843	0.032258065	0.0099009901	15	8	7	SERPINE1,SMAD7,CCN2,COL1A1,COL1A2,FN1,ACTA2	4.3508428	9.7704727	0.44530525	0.96425616	0.6	0
low_receiver_enrichment	stroma_fibroblast->stroma_fibroblast CXCL12-CXCR4	GSE292299	GSM8855708_NSCLC_P6	NSCLC	stroma_fibroblast	stroma_fibroblast	CXCL12	CXCR4	CXCL chemokine	0.922735	high_pilot_v3	3	2	0.019607843	0.032258065	0.059405941	17	7	7	CXCL9,CXCL10,CXCL11,CXCR3,CXCR4,ISG15,STAT1	1.6222955	1.4330423	1.1320639	0.89317954	1	0
low_percentile_and_low_enrichment	tumor_like->tumor_like MIF-CD74	GSE292299	GSM8855708_NSCLC_P6	NSCLC	tumor_like	tumor_like	MIF	CD74	MIF	0.936291	high_pilot_v3	3	2	0.019607843	0.064516129	0.0099009901	15	7	5	CD74,CXCR4,CXCR2,NFKBIA,IL1B	6.1623035	8.6977943	0.70849037	0.97716366	0.6	0
low_receiver_enrichment	tumor_like->tumor_like TGFB1-TGFBR2	GSE292299	GSM8855709_NSCLC_P7	NSCLC	tumor_like	tumor_like	TGFB1	TGFBR2	TGFB	0.914314	high_pilot_v3	3	2	0.019607843	0.032258065	0.0099009901	15	8	7	SERPINE1,SMAD7,CCN2,COL1A1,COL1A2,FN1,ACTA2	10.401645	11.438579	0.90934764	0.94716088	0.8	0
low_receiver_enrichment	stroma_fibroblast->stroma_fibroblast CXCL12-CXCR4	GSE292299	GSM8855709_NSCLC_P7	NSCLC	stroma_fibroblast	stroma_fibroblast	CXCL12	CXCR4	CXCL chemokine	0.925536	high_pilot_v3	3	2	0.019607843	0.032258065	0.0099009901	17	7	7	CXCL9,CXCL10,CXCL11,CXCR3,CXCR4,ISG15,STAT1	0.88899097	0.94162376	0.94410422	0.76205788	0.8	0
low_receiver_enrichment	tumor_like->tumor_like SPP1-CD44	GSE292299	GSM8855709_NSCLC_P7	NSCLC	tumor_like	tumor_like	SPP1	CD44	SPP1	0.940024	high_pilot_v3	3	2	0.019607843	0.032258065	0.0099009901	16	6	6	SPP1,CD44,ITGAV,ITGB1,FN1,MMP9	19.012684	17.424319	1.0911579	0.99290221	0.8	0
