method	dataset	sample_id	cancer	platform	sender_compartment	receiver_compartment	ligand	receptor	pathway	lr_means	cellphone_pvals	ligand_props	receptor_props
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	ambiguous_or_low_signal	immune	WNT5A	FZD5	WNT	0.17602787880924464	0.97	0.14627363737486096	0.13793103448275862
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	immune	immune	WNT5A	FZD5	WNT	0.17553492143372137	0.94	0.1206896551724138	0.13793103448275862
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	tumor_like	immune	WNT5A	FZD5	WNT	0.17519588293198232	0.98	0.21410071942446043	0.13793103448275862
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	stroma_fibroblast	stroma_fibroblast	CCL2	CCR2	CCL chemokine	0.17452068043272403	0.0	0.22487046632124352	0.1084628670120898
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	stroma_fibroblast	ambiguous_or_low_signal	CCL2	CCR2	CCL chemokine	0.17179884346330648	0.0	0.22487046632124352	0.0867630700778643
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	endothelial	tumor_like	CXCL12	CXCR4	CXCL chemokine	0.17090012139439717	1.0	0.06896551724137931	0.23482014388489209
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	immune	endothelial	TGFB1	TGFBR1	TGFB	0.1699176983422419	0.83	0.1896551724137931	0.06896551724137931
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	stroma_fibroblast	endothelial	TGFB1	TGFBR1	TGFB	0.16910580663987182	0.83	0.23350604490500865	0.06896551724137931
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	stroma_fibroblast	ambiguous_or_low_signal	DLL4	NOTCH1	NOTCH	0.16628979876499372	0.08	0.092573402417962	0.20689655172413793
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	endothelial	tumor_like	JAG1	NOTCH2	NOTCH	0.16357334607583154	0.99	0.06896551724137931	0.26906474820143883
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	endothelial	immune	JAG1	NOTCH2	NOTCH	0.16102052271774453	0.98	0.06896551724137931	0.17672413793103448
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	stroma_fibroblast	tumor_like	CCL2	CCR2	CCL chemokine	0.15394405517521537	0.0	0.22487046632124352	0.06992805755395684
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	ambiguous_or_low_signal	ambiguous_or_low_signal	DLL4	NOTCH1	NOTCH	0.15350744131207447	0.78	0.05728587319243604	0.20689655172413793
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	stroma_fibroblast	immune	CCL2	CCR2	CCL chemokine	0.15300878831848486	0.04	0.22487046632124352	0.06465517241379311
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	tumor_like	tumor_like	EGF	EGFR	EGF/ERBB	0.15286369416929935	0.0	0.19309352517985612	0.21035971223021582
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	tumor_like	ambiguous_or_low_signal	DLL4	NOTCH1	NOTCH	0.15204249609481496	0.89	0.08316546762589928	0.20689655172413793
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	immune	endothelial	TGFB1	TGFBR2	TGFB	0.1512325989097309	1.0	0.1896551724137931	0.05172413793103448
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	endothelial	endothelial	JAG1	NOTCH2	NOTCH	0.15078762144760122	0.97	0.06896551724137931	0.10344827586206896
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	stroma_fibroblast	endothelial	TGFB1	TGFBR2	TGFB	0.15045674448343793	1.0	0.23350604490500865	0.05172413793103448
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	endothelial	ambiguous_or_low_signal	JAG1	NOTCH2	NOTCH	0.14946814765218616	1.0	0.06896551724137931	0.18298109010011124
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	stroma_fibroblast	tumor_like	EGF	EGFR	EGF/ERBB	0.1493548840228477	0.0	0.1229706390328152	0.21035971223021582
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	immune	tumor_like	EGF	EGFR	EGF/ERBB	0.1483983447236755	0.08	0.10344827586206896	0.21035971223021582
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	endothelial	tumor_like	EGF	EGFR	EGF/ERBB	0.14556450572893218	0.26	0.08620689655172414	0.21035971223021582
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	immune	tumor_like	HBEGF	EGFR	EGF/ERBB	0.14470915898075157	0.01	0.125	0.21035971223021582
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	ambiguous_or_low_signal	tumor_like	EGF	EGFR	EGF/ERBB	0.1442386827902327	0.03	0.10122358175750834	0.21035971223021582
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	stroma_fibroblast	tumor_like	HBEGF	EGFR	EGF/ERBB	0.14050135334880007	0.0	0.13644214162348878	0.21035971223021582
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	ambiguous_or_low_signal	tumor_like	TGFB1	TGFBR1	TGFB	0.13932651852682615	1.0	0.12235817575083426	0.21323741007194244
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	tumor_like	tumor_like	TGFB1	TGFBR1	TGFB	0.13546813340538255	1.0	0.17237410071942447	0.21323741007194244
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	tumor_like	endothelial	EGF	EGFR	EGF/ERBB	0.1349307099861247	0.37	0.19309352517985612	0.06896551724137931
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	stroma_fibroblast	endothelial	EGF	EGFR	EGF/ERBB	0.13156537805752702	0.44	0.1229706390328152	0.06896551724137931
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	ambiguous_or_low_signal	endothelial	CCL2	CCR2	CCL chemokine	0.13112716531398425	0.41	0.11290322580645161	0.06896551724137931
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	immune	endothelial	EGF	EGFR	EGF/ERBB	0.13085430090610048	0.37	0.10344827586206896	0.06896551724137931
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	endothelial	endothelial	EGF	EGFR	EGF/ERBB	0.12809375722801336	0.55	0.08620689655172414	0.06896551724137931
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	immune	endothelial	HBEGF	EGFR	EGF/ERBB	0.12716785155044608	0.16	0.125	0.06896551724137931
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	stroma_fibroblast	tumor_like	DLL4	NOTCH1	NOTCH	0.12677205740695915	1.0	0.092573402417962	0.17266187050359713
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	ambiguous_or_low_signal	endothelial	EGF	EGFR	EGF/ERBB	0.12658419185605022	0.52	0.10122358175750834	0.06896551724137931
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	ambiguous_or_low_signal	tumor_like	HBEGF	EGFR	EGF/ERBB	0.1259343153069718	0.0	0.09065628476084539	0.21035971223021582
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	ambiguous_or_low_signal	stroma_fibroblast	CCL2	CCR2	CCL chemokine	0.12586593825303627	0.77	0.11290322580645161	0.1084628670120898
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	stroma_fibroblast	immune	DLL4	NOTCH1	NOTCH	0.12582107976259668	0.97	0.092573402417962	0.125
