dataset	sample_id	cancer	method	sender_compartment	receiver_compartment	ligand	receptor	pathway	ligand_mean_sender	receptor_mean_receiver	ligand_pct_sender	receptor_pct_receiver	adjacency_pairs	pilot_score	annotation_method	notes	null_model	fake_draws_requested	fake_draws_used	null_mean_score	null_ge_observed_n	empirical_p_ge	observed_to_null_mean_ratio	fake_pair_examples
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	SPP1	CD44	SPP1	20.359879	14.585685	0.80846774	0.98891129	4614	2505.495	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	expression_matched_fake_lr_pair	100	100	150.45361	0	0.0099009901	16.652941	CXCL9-TGFBR2;CCL2-TGFBR1;CXCL12-NOTCH2;CXCL12-ITGAV;CXCL12-NOTCH1
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	tumor_like	tumor_like	SPP1	ITGAV	SPP1	81.470093	5.831508	0.93597304	0.97219882	5866	4122.4332	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	expression_matched_fake_lr_pair	100	100	524.5358	0	0.0099009901	7.8592028	VEGFA-ITGA2;VEGFA-NOTCH1;MIF-NOTCH2;VEGFA-TGFBR1;JAG1-NOTCH1
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	SPP1	ITGAV	SPP1	81.470093	5.8356855	0.93597304	0.93850806	332	2761.3875	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	expression_matched_fake_lr_pair	100	100	289.15219	0	0.0099009901	9.549945	JAG1-TGFBR2;VEGFA-CXCR4;HBEGF-NOTCH2;VEGFA-CXCR4;HBEGF-NOTCH1
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	SPP1	ITGAV	SPP1	20.359879	5.831508	0.80846774	0.97219882	332	689.59377	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	expression_matched_fake_lr_pair	100	100	84.802824	0	0.0099009901	8.1317312	CCL2-NOTCH1;CXCL9-ITGA2;CCL2-TGFBR1;MIF-NOTCH2;CXCL9-TGFBR1
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	SPP1	ITGAV	SPP1	20.359879	5.8356855	0.80846774	0.93850806	4614	1002.4404	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	expression_matched_fake_lr_pair	100	100	132.34337	0	0.0099009901	7.5745417	CXCL12-TGFBR1;JAG1-CXCR4;JAG1-TGFBR1;MIF-TGFBR1;CXCL12-TGFBR1
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	tumor_like	tumor_like	MIF	CD74	MIF	34.191238	10.328559	0.9957877	0.92923336	5866	3064.2848	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	expression_matched_fake_lr_pair	100	100	338.06942	0	0.0099009901	9.0640697	VEGFA-ITGAV;COL1A1-NOTCH1;JAG1-TGFBR1;COL1A1-NOTCH2;TGFB1-NOTCH2
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	MIF	CD74	MIF	34.191238	61.388105	0.9957877	0.99495968	332	12190.915	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	expression_matched_fake_lr_pair	100	100	338.65029	0	0.0099009901	35.998537	COL1A1-NOTCH1;COL1A1-NOTCH1;HBEGF-TGFBR2;COL1A1-TGFBR2;TGFB1-ITGAV
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	MIF	CD74	MIF	8.202621	10.328559	0.93346774	0.92923336	332	492.07314	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	expression_matched_fake_lr_pair	100	100	67.009065	0	0.0099009901	7.3433817	CCL2-TGFBR2;TGFB1-NOTCH1;CCL2-TGFBR2;CCL2-NOTCH1;CXCL9-NOTCH1
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	MIF	CD74	MIF	8.202621	61.388105	0.93346774	0.99495968	4614	4248.4291	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	expression_matched_fake_lr_pair	100	100	185.17587	0	0.0099009901	22.942671	CXCL9-ITGAV;CXCL9-NOTCH1;CCL2-ITGAV;CCL2-TGFBR2;TGFB1-CD44
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	tumor_like	tumor_like	DLL4	NOTCH1	NOTCH	0.14153328	4.683235	0.11120472	0.95534962	5866	5.7514726	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	expression_matched_fake_lr_pair	100	100	14.861364	79	0.79207921	0.38700839	EGF-ITGAV;WNT5A-NOTCH2;CXCL12-TGFBR2;CXCL9-ITGAV;CXCL12-NOTCH2
