dataset	sample_id	cancer	method	sender_compartment	receiver_compartment	ligand	receptor	pathway	ligand_mean_sender	receptor_mean_receiver	ligand_pct_sender	receptor_pct_receiver	adjacency_pairs	pilot_score	annotation_method	notes
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	MIF	CD74	MIF	8.202621	10.328559	0.93346774	0.92923336	332	492.07314	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	MIF	CD74	MIF	8.202621	61.388105	0.93346774	0.99495968	4614	4248.4291	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	tumor_like	tumor_like	DLL4	NOTCH1	NOTCH	0.14153328	4.683235	0.11120472	0.95534962	5866	5.7514726	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	DLL4	NOTCH1	NOTCH	0.14153328	4.6229839	0.11120472	0.93447581	332	3.8003028	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	DLL4	NOTCH1	NOTCH	0.25907258	4.683235	0.19858871	0.95534962	332	7.0470064	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	DLL4	NOTCH1	NOTCH	0.25907258	4.6229839	0.19858871	0.93447581	4614	10.104977	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	tumor_like	tumor_like	JAG1	NOTCH2	NOTCH	2.2535805	2.694187	0.76579612	0.89385004	5866	52.683588	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	JAG1	NOTCH2	NOTCH	2.2535805	2.7076613	0.76579612	0.84576613	332	35.440894	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	JAG1	NOTCH2	NOTCH	3.3850806	2.694187	0.87096774	0.89385004	332	52.970494	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	JAG1	NOTCH2	NOTCH	3.3850806	2.7076613	0.87096774	0.84576613	4614	77.33122	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	tumor_like	tumor_like	WNT5A	FZD5	WNT	0.31760741	0.19292334	0.17944398	0.17017692	5866	0.53167952	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	WNT5A	FZD5	WNT	0.31760741	0.20362903	0.17944398	0.18850806	332	0.37563633	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	WNT5A	FZD5	WNT	1.0987903	0.19292334	0.50907258	0.17017692	332	1.2312234	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
