dataset	sample_id	cancer	sender_compartment	receiver_compartment	ligand	receptor	pathway	v3_score	dataset_recurrence_n	cellchat_supported	cellchat_probability	cellchat_p_value	target_supported	receiver_target_enrichment	receiver_target_percentile	target_genes_detected	joint_cellchat_target_support	evidence_category	public_top40_checked	public_evidence_grade	public_manual_review_category	public_source_ids	same_cancer_axis_evidence	interpretation_boundary
GSE283052	GSM8655164_P13	colorectal cancer	stroma_fibroblast	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	0.927418	12	1	0.0868441114035085	0.0	1	4.2917455	1.0	9	1	cellchat_and_target	1	direct_ecm_receptor_other_cancer	broad_pathway	GEO_GSE283052;PMID_36575207	0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE300445	GSM9060735_AdjIII-0133	melanoma	stroma_fibroblast	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	0.927049	4	1	0.101905570753183	0.0	1	2.928856	1.0	9	1	cellchat_and_target	1	direct_ecm_receptor_other_cancer	broad_pathway	GEO_GSE300445;PMID_42315253;PMID_36575207	0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855706_NSCLC_P4	NSCLC	immune	immune	SPP1	ITGAV	SPP1	0.92653	14	1	0.0127287471113042	0.04	1	3.2278427	1.0	6	1	cellchat_and_target	1	broad_spp1_integrin_axis	broad_pathway	GEO_GSE292299;PMID_42092150;PMID_27329720;PMID_39267037;PMID_40457349	0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855703_NSCLC_P1	NSCLC	stroma_fibroblast	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	0.926459	17	1	0.0207903334708711	0.0	1	8.7948635	1.0	9	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655160_P07	colorectal cancer	stroma_fibroblast	stroma_fibroblast	SPP1	ITGAV	SPP1	0.92621	11	1	0.0315410061431454	0.0	1	1.6538225	1.0	6	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855709_NSCLC_P7	NSCLC	stroma_fibroblast	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	0.925977	17	1	0.0791115787245653	0.0	1	2.958181	1.0	9	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655161_P09	colorectal cancer	stroma_fibroblast	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	0.925962	12	1	0.0347442220498392	0.0	1	4.6488116	1.0	9	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855710_NSCLC_P8	NSCLC	tumor_like	tumor_like	MIF	CD74	MIF	0.925891	15	1	0.0131793739217569	0.0	1	1.2814363	0.8	5	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655167_P18	colorectal cancer	stroma_fibroblast	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	0.925642	12	1	0.0341627998784789	0.0	1	2.634738	1.0	9	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855711_NSCLC_P9	NSCLC	stroma_fibroblast	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	0.925252	17	1	0.0577822226733947	0.0	1	5.1068491	1.0	9	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855712_NSCLC_P10	NSCLC	tumor_like	tumor_like	SPP1	ITGAV	SPP1	0.925074	15	1	0.0162209677530511	0.0	1	29.130413	1.0	6	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655159_P05	colorectal cancer	stroma_fibroblast	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	0.924648	12	1	0.0122770245567181	0.03	1	3.9456296	1.0	9	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655164_P13	colorectal cancer	stroma_fibroblast	stroma_fibroblast	SPP1	ITGAV	SPP1	0.923156	11	1	0.060830071655111	0.0	1	3.2417719	1.0	6	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855707_NSCLC_P5	NSCLC	stroma_fibroblast	stroma_fibroblast	SPP1	CD44	SPP1	0.922908	15	1	0.0481123254524839	0.0	1	2.289905	1.0	6	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855711_NSCLC_P9	NSCLC	stroma_fibroblast	stroma_fibroblast	SPP1	CD44	SPP1	0.922659	15	1	0.0629830219942889	0.0	1	2.8811096	1.0	6	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655162_P10	colorectal cancer	stroma_fibroblast	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	0.922588	12	1	0.172676980404903	0.0	1	10.271537	1.0	9	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
