dataset	sample_id	cancer	sender_compartment	receiver_compartment	ligand	receptor	pathway	v3_score	dataset_recurrence_n	cellchat_supported	cellchat_probability	cellchat_p_value	target_supported	receiver_target_enrichment	receiver_target_percentile	target_genes_detected	joint_cellchat_target_support	evidence_category	public_top40_checked	public_evidence_grade	public_manual_review_category	public_source_ids	same_cancer_axis_evidence	interpretation_boundary
GSE292299	GSM8855718_NSCLC_P16	NSCLC	tumor_like	tumor_like	SPP1	ITGAV	SPP1	0.916445	15	1	0.00686544111536036	0.0	0	0.41036079	0.4	6	0	cellchat_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stroma_fibroblast	stroma_fibroblast	TGFB1	TGFBR2	TGFB	0.916253	4	0	0.0	1.0	1	4.008113	1.0	7	0	target_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855709_NSCLC_P7	NSCLC	tumor_like	tumor_like	TGFB1	TGFBR2	TGFB	0.914314	15	1	0.00175110848348302	0.0	0	0.90934764	0.8	7	0	cellchat_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655159_P05	colorectal cancer	stroma_fibroblast	stroma_fibroblast	SPP1	ITGAV	SPP1	0.913959	11	0	0.0	1.0	1	2.0062247	1.0	6	0	target_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655159_P05	colorectal cancer	stroma_fibroblast	stroma_fibroblast	SPP1	CD44	SPP1	0.913071	12	0	0.0	1.0	1	2.0062247	1.0	6	0	target_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855712_NSCLC_P10	NSCLC	tumor_like	tumor_like	HBEGF	EGFR	EGF/ERBB	0.912894	15	0	0.0	1.0	1	39.323532	1.0	8	0	target_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655160_P07	colorectal cancer	tumor_like	tumor_like	JAG1	NOTCH2	NOTCH	0.912325	11	0	0.0	1.0	1	1.655722	1.0	7	0	target_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855704_NSCLC_P2	NSCLC	tumor_like	tumor_like	TGFB1	TGFBR1	TGFB	0.912148	15	1	0.00120611385660468	0.01	0	0.3081717	0.6	7	0	cellchat_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855708_NSCLC_P6	NSCLC	tumor_like	tumor_like	TGFB1	TGFBR1	TGFB	0.908987	15	1	0.00556493815976664	0.0	0	0.44530525	0.6	7	0	cellchat_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855719_DLBCL_P1	DLBCL	immune	immune	CXCL12	CXCR4	CXCL chemokine	0.90872	14	0	0.0	1.0	1	4.0561946	1.0	7	0	target_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855717_NSCLC_P15	NSCLC	tumor_like	tumor_like	SPP1	CD44	SPP1	0.908632	16	1	0.0149022886180899	0.0	0	1.1082848	0.6	6	0	cellchat_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855719_DLBCL_P1	DLBCL	immune	immune	TGFB1	TGFBR2	TGFB	0.906028	13	1	0.0144376671650773	0.0	0	0.64044007	0.6	7	0	cellchat_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
