variant	rank_in_variant	candidate_id	dataset	sample_id	cancer	sender_compartment	receiver_compartment	ligand	receptor	pathway	full_v3	confidence_tier_pilot_v3	all_null_gates	both_external	target_activation_support	no_null	no_external	no_recurrence	no_raw_score	no_annotation	equal_weight
no_annotation	217	GSE283052|GSM8655161_P09|stroma_fibroblast|stroma_fibroblast|SPP1|ITGAV|SPP1	GSE283052	GSM8655161_P09	colorectal cancer	stroma_fibroblast	stroma_fibroblast	SPP1	ITGAV	SPP1	0.890194	high_pilot_v3	True	True	1					0.933548825	
no_annotation	218	GSE292299|GSM8855720_DLBCL_P2|immune|immune|TGFB1|TGFBR2|TGFB	GSE292299	GSM8855720_DLBCL_P2	DLBCL	immune	immune	TGFB1	TGFBR2	TGFB	0.889757	high_pilot_v3	True	True	1					0.93306349	
equal_weight	1	GSE292299|GSM8855713_NSCLC_P11|tumor_like|tumor_like|SPP1|CD44|SPP1	GSE292299	GSM8855713_NSCLC_P11	NSCLC	tumor_like	tumor_like	SPP1	CD44	SPP1	0.941658	high_pilot_v3	True	True	1						0.8957401600000001
equal_weight	2	GSE300445|GSM9060734_AdjIII-0113|tumor_like|tumor_like|MIF|CD74|MIF	GSE300445	GSM9060734_AdjIII-0113	melanoma	tumor_like	tumor_like	MIF	CD74	MIF	0.941622	high_pilot_v3	True	True	0						0.8956928120000001
equal_weight	3	GSE292299|GSM8855713_NSCLC_P11|tumor_like|tumor_like|MIF|CD74|MIF	GSE292299	GSM8855713_NSCLC_P11	NSCLC	tumor_like	tumor_like	MIF	CD74	MIF	0.941587	high_pilot_v3	True	True	1						0.895645464
equal_weight	4	GSE300445|GSM9060735_AdjIII-0133|tumor_like|tumor_like|MIF|CD74|MIF	GSE300445	GSM9060735_AdjIII-0133	melanoma	tumor_like	tumor_like	MIF	CD74	MIF	0.941516	high_pilot_v3	True	True	0						0.895550766
equal_weight	5	GSE300445|GSM9060732_AdjIII-0019|tumor_like|tumor_like|SPP1|CD44|SPP1	GSE300445	GSM9060732_AdjIII-0019	melanoma	tumor_like	tumor_like	SPP1	CD44	SPP1	0.941445	high_pilot_v3	True	True	1						0.89545607
equal_weight	6	GSE292299|GSM8855713_NSCLC_P11|tumor_like|tumor_like|SPP1|ITGAV|SPP1	GSE292299	GSM8855713_NSCLC_P11	NSCLC	tumor_like	tumor_like	SPP1	ITGAV	SPP1	0.941409	high_pilot_v3	True	True	1						0.895408722
equal_weight	7	GSE292299|GSM8855704_NSCLC_P2|tumor_like|tumor_like|SPP1|CD44|SPP1	GSE292299	GSM8855704_NSCLC_P2	NSCLC	tumor_like	tumor_like	SPP1	CD44	SPP1	0.940983	high_pilot_v3	True	True	0						0.89484054
equal_weight	8	GSE292299|GSM8855715_NSCLC_P13|tumor_like|tumor_like|MIF|CD74|MIF	GSE292299	GSM8855715_NSCLC_P13	NSCLC	tumor_like	tumor_like	MIF	CD74	MIF	0.940735	high_pilot_v3	True	True	0						0.8945091
equal_weight	9	GSE300445|GSM9060732_AdjIII-0019|tumor_like|tumor_like|SPP1|ITGAV|SPP1	GSE300445	GSM9060732_AdjIII-0019	melanoma	tumor_like	tumor_like	SPP1	ITGAV	SPP1	0.940522	high_pilot_v3	True	True	1						0.8942250099999999
equal_weight	10	GSE283052|GSM8655157_P02|tumor_like|tumor_like|MIF|CD74|MIF	GSE283052	GSM8655157_P02	colorectal cancer	tumor_like	tumor_like	MIF	CD74	MIF	0.940237	high_pilot_v3	True	True	1						0.893846222
