condition_id	sender_compartment	receiver_compartment	ligand	receptor	biological_samples_total	biological_samples_joint_pass_all_replicates	technical_replicates_total	technical_replicates_joint_pass	resource_axis	joint_pair_null_recurrence_fraction	passed_biological_sample_ids	aggregation
spike_high	tumor/epithelial	T/NK	CD274	PDCD1	3	3	15	15	1	1.0	GSM7780153;GSM7780154;GSM7780155	all_5_technical_replicates
spike_low	CAF/fibroblast	T/NK	CXCL12	CXCR4	3	1	15	5	1	0.3333333333333333	GSM7780153	all_5_technical_replicates
spike_low	endothelial	endothelial	PECAM1	PECAM1	3	1	15	5	1	0.3333333333333333	GSM7780154	all_5_technical_replicates
spike_low	tumor/epithelial	CAF/fibroblast	PTN	SDC4	3	0	15	1	1	0.0		all_5_technical_replicates
spike_low	tumor/epithelial	T/NK	CD274	PDCD1	3	2	15	13	1	0.6666666666666666	GSM7780153;GSM7780155	all_5_technical_replicates
spike_medium	CAF/fibroblast	T/NK	CXCL12	CXCR4	3	1	15	5	1	0.3333333333333333	GSM7780153	all_5_technical_replicates
spike_medium	endothelial	endothelial	PECAM1	PECAM1	3	0	15	4	1	0.0		all_5_technical_replicates
spike_medium	tumor/epithelial	CAF/fibroblast	PTN	SDC4	3	0	15	2	1	0.0		all_5_technical_replicates
spike_medium	tumor/epithelial	T/NK	CD274	PDCD1	3	1	15	13	1	0.3333333333333333	GSM7780155	all_5_technical_replicates
unmodified_reference	CAF/fibroblast	T/NK	CXCL12	CXCR4	3	0	15	4	1	0.0		all_5_technical_replicates
unmodified_reference	endothelial	endothelial	PECAM1	PECAM1	3	1	15	5	1	0.3333333333333333	GSM7780154	all_5_technical_replicates
unmodified_reference	tumor/epithelial	CAF/fibroblast	PTN	SDC4	3	0	15	0	1	0.0		all_5_technical_replicates
unmodified_reference	tumor/epithelial	T/NK	CD274	PDCD1	3	0	15	0	1	0.0		all_5_technical_replicates
