perturbation_family	expected_direction	scorer	sample_id	replicate	axis_id	steps	expected_steps	fully_monotonic	first_value	last_value
spike_strength	nondecreasing	liana	GSM7780154	5	axis_1	2	2	1	3.8153276631476536	3.853549653178935
spike_strength	nondecreasing	liana	GSM7780154	5	axis_2	2	2	1	0.3418105406716633	0.4485833303534307
spike_strength	nondecreasing	liana	GSM7780155	1	axis_1	2	2	1	3.789629642531387	3.85739725473255
spike_strength	nondecreasing	liana	GSM7780155	1	axis_2	2	2	1	0.4628254335569123	0.5715080088519829
spike_strength	nondecreasing	liana	GSM7780155	2	axis_1	2	2	1	3.621451189084404	3.683313410222593
spike_strength	nondecreasing	liana	GSM7780155	2	axis_2	2	2	1	0.4650023489638692	0.576347262462071
spike_strength	nondecreasing	liana	GSM7780155	3	axis_1	2	2	1	3.647806690290589	3.716631017652784
spike_strength	nondecreasing	liana	GSM7780155	3	axis_2	2	2	1	0.4398496005465655	0.5512181176838158
spike_strength	nondecreasing	liana	GSM7780155	4	axis_1	2	2	1	3.6211427896545376	3.6861705760862713
spike_strength	nondecreasing	liana	GSM7780155	4	axis_2	2	2	1	0.445682288177769	0.5567609627796063
spike_strength	nondecreasing	liana	GSM7780155	5	axis_1	2	2	1	3.645571557788988	3.712712120229992
spike_strength	nondecreasing	liana	GSM7780155	5	axis_2	2	2	1	0.4332257595428668	0.5423658393513661
spike_strength	nondecreasing	cellchat	GSM7780153	1	axis_1	2	2	1	0.446197245282975	0.451707196183889
spike_strength	nondecreasing	cellchat	GSM7780153	1	axis_2	2	2	1	4.5258751698167e-05	8.22584705633786e-05
spike_strength	nondecreasing	cellchat	GSM7780153	1	axis_3	2	2	1	0.0140744801510954	0.0181890481417474
spike_strength	nondecreasing	cellchat	GSM7780153	1	axis_4	2	2	1	0.448534693431479	0.452469296710876
spike_strength	nondecreasing	cellchat	GSM7780153	2	axis_1	2	2	1	0.446288356096685	0.451592073040259
spike_strength	nondecreasing	cellchat	GSM7780153	2	axis_2	2	2	1	4.66432721119168e-05	8.43388059808494e-05
spike_strength	nondecreasing	cellchat	GSM7780153	2	axis_3	2	2	1	0.0131481555112148	0.0176100990524125
spike_strength	nondecreasing	cellchat	GSM7780153	2	axis_4	2	2	1	0.448372960042866	0.451824308743217
spike_strength	nondecreasing	cellchat	GSM7780153	3	axis_1	2	2	1	0.444439112105782	0.448643278218339
spike_strength	nondecreasing	cellchat	GSM7780153	3	axis_2	2	2	1	5.57866793062192e-05	9.6084873595767e-05
spike_strength	nondecreasing	cellchat	GSM7780153	3	axis_3	2	2	1	0.0096144159037188	0.0125459947772276
spike_strength	nondecreasing	cellchat	GSM7780153	3	axis_4	2	2	1	0.448924679318238	0.453090846515737
spike_strength	nondecreasing	cellchat	GSM7780153	4	axis_1	2	2	1	0.443069229018326	0.446346137805109
spike_strength	nondecreasing	cellchat	GSM7780153	4	axis_2	2	2	1	4.52570842474471e-05	8.24835503998065e-05
spike_strength	nondecreasing	cellchat	GSM7780153	4	axis_3	2	2	1	0.0097747111465922	0.0128258853782095
